Ticker,Nom,Pays,Gérant,Prix,Devise,PerfYTD,Statut,Date achat,Date vente
NASDAQ:AVAV,AEROVIRONMENT,US,Alain Pitous,265.46,USD,-7.65,Ouverte,04/12/2025,
NYSE:AES,AES CORPORATION,US,Alain Pitous,16.29,USD,25.79,Ouverte,18/09/2025,
NASDAQ:AEP,AMERICAN ELECTRIC POWER,US,Alain Pitous,127.27,USD,7.82,Ouverte,04/12/2025,
NASDAQ:TEAM,ATLASSIAN,US,Alain Pitous,198.50,USD,0.63,Clôturée,21/03/2024,26/06/2025
NASDAQ:CEG,CONSTELLATION ENERGY,US,Alain Pitous,294.05,USD,-8.89,Ouverte,18/09/2025,
NYSE:DELL,DELL TECHNOLOGIES,US,Alain Pitous,116.78,USD,-7.30,Ouverte,26/06/2025,
NASDAQ:NBIS,NEBIUS GROUP,US,Alain Pitous,101.80,USD,4.62,Ouverte,08/01/2026,
NASDAQ:FSLR,FIRST SOLAR,US,Alain Pitous,238.57,USD,42.28,Ouverte,06/02/2025,
NYSE:GEV,GE VERNOVA,US,Alain Pitous,387.11,USD,52.00,Clôturée,03/10/2024,18/09/2025
NYSE:IBM,IBM,US,Alain Pitous,260.79,USD,2.90,Ouverte,06/02/2025,
NASDAQ:INTC,INTEL,US,Alain Pitous,19.38,USD,-26.11,Clôturée,07/11/2024,06/02/2025
NASDAQ:ISRG,INTUITIVE SURGICAL,US,Alain Pitous,534.19,USD,-9.23,Clôturée,06/02/2025,26/06/2025
NYSE:IONQ,IONQ,US,Alain Pitous,66.81,USD,202.17,Clôturée,07/11/2024,18/09/2025
NASDAQ:MVST,MICROVAST HOLDINGS,US,Alain Pitous,2.33,USD,-40.56,Ouverte,26/06/2025,
CPH:NOVO-B,NOVO NORDISK,DK,Alain Pitous,308.90,DKK,-51.35,Ouverte,06/02/2025,
NYSE:RSG,REPUBLIC SERVICES,US,Alain Pitous,221.57,USD,30.12,Clôturée,25/01/2024,06/02/2025
NASDAQ:RKLB,ROCKET LAB,US,Alain Pitous,74.42,USD,704.54,Ouverte,03/10/2024,
NASDAQ:SEDG,SOLAREDGE TECH.,US,Alain Pitous,14.76,USD,-94.68,Clôturée,15/06/2023,06/02/2025
NASDAQ:VRTX,VERTEX PHARMA,US,Alain Pitous,387.11,USD,-14.12,Clôturée,23/05/2024,18/09/2025
NYSE:V,VISA,US,Alain Pitous,320.30,USD,-5.66,Ouverte,20/03/2025,
NYSE:VST,VISTRA CORP.,US,Alain Pitous,210.16,USD,23.71,Clôturée,06/02/2025,18/09/2025
NASDAQ:ZS,ZSCALER,US,Alain Pitous,291.11,USD,46.97,Clôturée,21/03/2024,18/09/2025
NASDAQ:AMD,AMD,US,Frédéric Rozier,232.89,USD,105.22,Clôturée,09/11/2023,09/10/2025
EPA:AIR,AIRBUS SE,FR,Christian Bito,162.80,EUR,2.33,Clôturée,30/05/2024,12/06/2025
LON:CPG,COMPASS GROUP,GB,Frédéric Rozier,2527.00,GBX,69.03,Clôturée,01/04/2021,09/10/2025
EPA:GTT,GTT GAZTRANSPORT,FR,Stéphanie Maugey,166.00,EUR,30.71,Clôturée,12/09/2024,19/06/2025
EPA:ALHG,LOUIS HACHETTE GROUP,FR,Frédéric Rozier,1.479,EUR,,Clôturée,,09/10/2025
NYSE:MRK,MERCK & CO.,US,Céline Piquemal-Prade,79.29,USD,-26.75,Clôturée,14/09/2023,18/06/2025
NYSE:CRM,SALESFORCE.COM,US,Louis de Montalembert,245.33,USD,-25.66,Clôturée,27/11/2024,09/10/2025
EPA:RUI,RUBIS,FR,Stéphanie Maugey,27.64,EUR,-17.89,Clôturée,04/04/2024,19/06/2025
EPA:VIV,VIVENDI SE,FR,Frédéric Rozier,2.934,EUR,,Clôturée,,12/06/2025
